Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Preston Cushman,OT,Calvary Christian,Clearwater,FL,6,5,285,0.8558,Florida,2022,NA,91,134,3,Ole Miss,//247sports.com/player/preston-cushman-46110014,"Calvary Christian, Clearwater, FL",-82.7103776,27.9667535
David Conner,OT,Deerfield Beach,Deerfield Beach,FL,6,6,270,0.8558,Florida,2022,NA,92,135,3,Florida,//247sports.com/player/david-conner-46084646,"Deerfield Beach, Deerfield Beach, FL",-80.09976569999999,26.3184123
Ja'Kavion Nonar,OT,Glades Central,Belle Glade,FL,6,7,285,0.8477,Florida,2022,NA,119,162,3,Maryland,//247sports.com/player/jakavion-nonar-46115224,"Glades Central, Belle Glade, FL",-80.68054550000001,26.669122
Ramier Lewis,OT,American Collegiate Academy,Clearwater,FL,6,7,360,0.8114,Florida,2022,NA,201,262,3,NA,//247sports.com/player/ramier-lewis-46052653,"American Collegiate Academy, Clearwater, FL",-82.7912243,27.9339512
Jordan Herman,OT,Hutchinson C.C.,Hutchinson,KS,6,8,370,NA,Florida,2022,NA,NA,NA,1,Florida,//247sports.com/player/jordan-herman-46133371,"Hutchinson C.C., Hutchinson, KS",-97.920531,38.068019
Travis Hunter,CB,Collins Hill,Suwanee,GA,6,1,165,0.9999,Florida,2022,1,1,1,5,Jackson State,//247sports.com/player/travis-hunter-46084728,"Collins Hill, Suwanee, GA",-84.0225993,34.0340302
Domani Jackson,CB,Mater Dei,Santa Ana,CA,6,1,185,0.9952,Florida,2022,5,2,1,5,USC,//247sports.com/player/domani-jackson-46057101,"Mater Dei, Santa Ana, CA",-117.8841454,33.7262194
Will Johnson,CB,Grosse Pointe South,Grosse Pointe,MI,6,3,190,0.9925,Florida,2022,14,3,1,5,Michigan,//247sports.com/player/will-johnson-46058580,"Grosse Pointe South, Grosse Pointe, MI",-82.9024146,42.39084039999999
Denver Harris,CB,North Shore,Houston,TX,6,1,180,0.9889,Florida,2022,23,4,6,5,Texas A&M,//247sports.com/player/denver-harris-46081216,"North Shore, Houston, TX",-95.21826279999999,29.7758059
Jaheim Singletary,CB,Riverside,Jacksonville,FL,6,2,170,0.9879,Florida,2022,27,5,5,5,Georgia,//247sports.com/player/jaheim-singletary-46082114,"Riverside, Jacksonville, FL",-81.6938933,30.3129035
Daylen Everette,CB,IMG Academy,Bradenton,FL,6,1,185,0.98740000000000006,Florida,2022,28,6,6,5,Georgia,//247sports.com/player/daylen-everette-46085466,"IMG Academy, Bradenton, FL",-82.605312,27.4408855
Jeadyn Lukus,CB,Mauldin,Mauldin,SC,6,2.5,185,0.986,Florida,2022,30,7,1,5,Clemson,//247sports.com/player/jeadyn-lukus-46095135,"Mauldin, Mauldin, SC",-82.310119,34.77873
Julian Humphrey,CB,Clear Lake,Houston,TX,6,1,185,0.9655,Florida,2022,81,9,13,4,Georgia,//247sports.com/player/julian-humphrey-46078972,"Clear Lake, Houston, TX",-95.0624713,29.556625
Terrance Brooks,CB,Little Elm,Little Elm,TX,5,11,190,0.9643,Florida,2022,83,10,14,4,Texas,//247sports.com/player/terrance-brooks-46099495,"Little Elm, Little Elm, TX",-96.89098919999999,33.1782296
Gentry Williams,CB,Booker T. Washington,Tulsa,OK,6,0,170,0.959,Florida,2022,93,11,1,4,Oklahoma,//247sports.com/player/gentry-williams-46076933,"Booker T. Washington, Tulsa, OK",-95.9708215,36.1886802
Earl Little Jr.,CB,American Heritage,Fort Lauderdale,FL,6,0,175,0.9552,Florida,2022,106,12,16,4,Alabama,//247sports.com/player/earl-little-jr-46082962,"American Heritage, Fort Lauderdale, FL",-80.1391798,26.1352626
Marquis Groves-Killebrew,CB,North Cobb,Kennesaw,GA,6,0,180,0.9535,Florida,2022,114,13,11,4,Texas A&M,//247sports.com/player/marquis-groves-killebrew-46083134,"North Cobb, Kennesaw, GA",-84.64859829999999,34.0401304
Trequon Fegans,CB,Thompson,Alabaster,AL,6,1,181,0.953,Florida,2022,117,14,7,4,Alabama,//247sports.com/player/trequon-fegans-46058489,"Thompson, Alabaster, AL",-86.8451459,33.222801
Khamauri Rogers,CB,Holmes County,Lexington,MS,6,0,150,0.9525,Florida,2022,118,15,3,4,Miami,//247sports.com/player/khamauri-rogers-46081427,"Holmes County, Lexington, MS",-90.0531408,33.1131833
Laterrance Welch,CB,Acadiana,Lafayette,LA,6,1,180,0.9503,Florida,2022,127,16,12,4,LSU,//247sports.com/player/laterrance-welch-46101177,"Acadiana, Lafayette, LA",-92.0198427,30.2240897
Jahlil Florence,CB,Lincoln,San Diego,CA,6,1.5,180,0.9378,Florida,2022,157,19,9,4,Oregon,//247sports.com/player/jahlil-florence-46113269,"Lincoln, San Diego, CA",-117.1375776,32.7503154
